la_Code,borough,economic_Status,Observation,Status,Value
E09000026,Redbridge,Employee: Part-time,31442,Non-Migrant,17731
E09000026,Redbridge,Employee: Full-time,76679,Non-Migrant,43241
E09000026,Redbridge,Self-employed: Part-time,13401,Non-Migrant,7557
E09000026,Redbridge,Self-employed: Full-time,20108,Non-Migrant,11339
E09000026,Redbridge,Unemployed/Inactive,100390,Non-Migrant,56612
E09000027,Richmond upon Thames,Employee: Part-time,15572,Migrant,4484
E09000027,Richmond upon Thames,Employee: Full-time,59403,Migrant,17103
E09000027,Richmond upon Thames,Self-employed: Part-time,10300,Migrant,2966
E09000027,Richmond upon Thames,Self-employed: Full-time,12291,Migrant,3539
E09000027,Richmond upon Thames,Unemployed/Inactive,58269,Migrant,16777
E09000027,Richmond upon Thames,Employee: Part-time,15572,Non-Migrant,11088
E09000027,Richmond upon Thames,Employee: Full-time,59403,Non-Migrant,42300
E09000027,Richmond upon Thames,Self-employed: Part-time,10300,Non-Migrant,7334
E09000027,Richmond upon Thames,Self-employed: Full-time,12291,Non-Migrant,8752
E09000027,Richmond upon Thames,Unemployed/Inactive,58269,Non-Migrant,41492
E09000028,Southwark,Employee: Part-time,29953,Migrant,12194
E09000028,Southwark,Employee: Full-time,109153,Migrant,44437
E09000028,Southwark,Self-employed: Part-time,12017,Migrant,4892
E09000028,Southwark,Self-employed: Full-time,15828,Migrant,6444
E09000028,Southwark,Unemployed/Inactive,89188,Migrant,36309
E09000028,Southwark,Employee: Part-time,29953,Non-Migrant,17759
E09000028,Southwark,Employee: Full-time,109153,Non-Migrant,64716
E09000028,Southwark,Self-employed: Part-time,12017,Non-Migrant,7125
E09000028,Southwark,Self-employed: Full-time,15828,Non-Migrant,9384
E09000028,Southwark,Unemployed/Inactive,89188,Non-Migrant,52879
E09000029,Sutton,Employee: Part-time,21397,Migrant,5939
E09000029,Sutton,Employee: Full-time,63416,Migrant,17602
E09000029,Sutton,Self-employed: Part-time,7808,Migrant,2167
E09000029,Sutton,Self-employed: Full-time,11605,Migrant,3221
E09000029,Sutton,Unemployed/Inactive,66262,Migrant,18392
E09000029,Sutton,Employee: Part-time,21397,Non-Migrant,15458
E09000029,Sutton,Employee: Full-time,63416,Non-Migrant,45814
E09000029,Sutton,Self-employed: Part-time,7808,Non-Migrant,5641
E09000029,Sutton,Self-employed: Full-time,11605,Non-Migrant,8384
E09000029,Sutton,Unemployed/Inactive,66262,Non-Migrant,47870
E09000030,Tower Hamlets,Employee: Part-time,29979,Migrant,14030
E09000030,Tower Hamlets,Employee: Full-time,102087,Migrant,47777
E09000030,Tower Hamlets,Self-employed: Part-time,10855,Migrant,5080
E09000030,Tower Hamlets,Self-employed: Full-time,12469,Migrant,5836
E09000030,Tower Hamlets,Unemployed/Inactive,97489,Migrant,45625
E09000030,Tower Hamlets,Employee: Part-time,29979,Non-Migrant,15949
E09000030,Tower Hamlets,Employee: Full-time,102087,Non-Migrant,54310
E09000030,Tower Hamlets,Self-employed: Part-time,10855,Non-Migrant,5775
E09000030,Tower Hamlets,Self-employed: Full-time,12469,Non-Migrant,6633
E09000030,Tower Hamlets,Unemployed/Inactive,97489,Non-Migrant,51864
E09000031,Waltham Forest,Employee: Part-time,27814,Migrant,10725
E09000031,Waltham Forest,Employee: Full-time,79888,Migrant,30804
E09000031,Waltham Forest,Self-employed: Part-time,12932,Migrant,4986
E09000031,Waltham Forest,Self-employed: Full-time,19740,Migrant,7612
E09000031,Waltham Forest,Unemployed/Inactive,81810,Migrant,31545
E09000031,Waltham Forest,Employee: Part-time,27814,Non-Migrant,17089
E09000031,Waltham Forest,Employee: Full-time,79888,Non-Migrant,49084
E09000031,Waltham Forest,Self-employed: Part-time,12932,Non-Migrant,7946
E09000031,Waltham Forest,Self-employed: Full-time,19740,Non-Migrant,12128
E09000031,Waltham Forest,Unemployed/Inactive,81810,Non-Migrant,50265
E09000032,Wandsworth,Employee: Part-time,24155,Migrant,9159
E09000032,Wandsworth,Employee: Full-time,133072,Migrant,50458
E09000032,Wandsworth,Self-employed: Part-time,14492,Migrant,5495
E09000032,Wandsworth,Self-employed: Full-time,18722,Migrant,7099
E09000032,Wandsworth,Unemployed/Inactive,90478,Migrant,34308
E09000032,Wandsworth,Employee: Part-time,24155,Non-Migrant,14996
E09000032,Wandsworth,Employee: Full-time,133072,Non-Migrant,82614
E09000032,Wandsworth,Self-employed: Part-time,14492,Non-Migrant,8997
E09000032,Wandsworth,Self-employed: Full-time,18722,Non-Migrant,11623
E09000032,Wandsworth,Unemployed/Inactive,90478,Non-Migrant,56170
E09000033,Westminster,Employee: Part-time,15113,Migrant,8401
E09000033,Westminster,Employee: Full-time,64976,Migrant,36120
E09000033,Westminster,Self-employed: Part-time,9525,Migrant,5295
E09000033,Westminster,Self-employed: Full-time,12131,Migrant,6744
E09000033,Westminster,Unemployed/Inactive,75725,Migrant,42096
E09000033,Westminster,Employee: Part-time,15113,Non-Migrant,6712
E09000033,Westminster,Employee: Full-time,64976,Non-Migrant,28856
E09000033,Westminster,Self-employed: Part-time,9525,Non-Migrant,4230
E09000033,Westminster,Self-employed: Full-time,12131,Non-Migrant,5387
E09000033,Westminster,Unemployed/Inactive,75725,Non-Migrant,33629
