la_Code,borough,tenure_Status,Observation,status,value
E09000019,Islington,Owned: Owns outright,11151,migrant,4447
E09000019,Islington,Owned: Owns with a mortgage,14589,migrant,5818
E09000019,Islington,Shared ownership: Shared ownership,1580,migrant,630
E09000019,Islington,Social rented: Rents from council ,38787,migrant,15468
E09000019,Islington,Private rented: Private landlord ,30079,migrant,11996
E09000019,Islington,Lives rent free,310,migrant,124
E09000020,Kensington and Chelsea,Owned: Owns outright,13301,nonmigrant,6129
E09000020,Kensington and Chelsea,Owned: Owns with a mortgage,7890,nonmigrant,3635
E09000020,Kensington and Chelsea,Shared ownership: Shared ownership,676,nonmigrant,311
E09000020,Kensington and Chelsea,Social rented: Rents from council ,18430,nonmigrant,8492
E09000020,Kensington and Chelsea,Private rented: Private landlord ,26460,nonmigrant,12192
E09000020,Kensington and Chelsea,Lives rent free,127,nonmigrant,59
E09000020,Kensington and Chelsea,Owned: Owns outright,13301,migrant,7172
E09000020,Kensington and Chelsea,Owned: Owns with a mortgage,7890,migrant,4255
E09000020,Kensington and Chelsea,Shared ownership: Shared ownership,676,migrant,365
E09000020,Kensington and Chelsea,Social rented: Rents from council ,18430,migrant,9938
E09000020,Kensington and Chelsea,Private rented: Private landlord ,26460,migrant,14268
E09000020,Kensington and Chelsea,Lives rent free,127,migrant,68
E09000021,Kingston upon Thames,Owned: Owns outright,18519,nonmigrant,12281
E09000021,Kingston upon Thames,Owned: Owns with a mortgage,21418,nonmigrant,14204
E09000021,Kingston upon Thames,Shared ownership: Shared ownership,460,nonmigrant,305
E09000021,Kingston upon Thames,Social rented: Rents from council ,7244,nonmigrant,4804
E09000021,Kingston upon Thames,Private rented: Private landlord ,17911,nonmigrant,11878
E09000021,Kingston upon Thames,Lives rent free,76,nonmigrant,50
E09000021,Kingston upon Thames,Owned: Owns outright,18519,migrant,6238
E09000021,Kingston upon Thames,Owned: Owns with a mortgage,21418,migrant,7214
E09000021,Kingston upon Thames,Shared ownership: Shared ownership,460,migrant,155
E09000021,Kingston upon Thames,Social rented: Rents from council ,7244,migrant,2440
E09000021,Kingston upon Thames,Private rented: Private landlord ,17911,migrant,6033
E09000021,Kingston upon Thames,Lives rent free,76,migrant,26
E09000022,Lambeth,Owned: Owns outright,16180,nonmigrant,9937
E09000022,Lambeth,Owned: Owns with a mortgage,28289,nonmigrant,17374
E09000022,Lambeth,Shared ownership: Shared ownership,2441,nonmigrant,1499
E09000022,Lambeth,Social rented: Rents from council ,45243,nonmigrant,27787
E09000022,Lambeth,Private rented: Private landlord ,42329,nonmigrant,25997
E09000022,Lambeth,Lives rent free,206,nonmigrant,127
E09000022,Lambeth,Owned: Owns outright,16180,migrant,6243
E09000022,Lambeth,Owned: Owns with a mortgage,28289,migrant,10915
E09000022,Lambeth,Shared ownership: Shared ownership,2441,migrant,942
E09000022,Lambeth,Social rented: Rents from council ,45243,migrant,17456
E09000022,Lambeth,Private rented: Private landlord ,42329,migrant,16332
E09000022,Lambeth,Lives rent free,206,migrant,79
E09000023,Lewisham,Owned: Owns outright,18853,nonmigrant,12137
E09000023,Lewisham,Owned: Owns with a mortgage,32377,nonmigrant,20843
E09000023,Lewisham,Shared ownership: Shared ownership,1944,nonmigrant,1251
E09000023,Lewisham,Social rented: Rents from council ,35753,nonmigrant,23016
E09000023,Lewisham,Private rented: Private landlord ,33289,nonmigrant,21430
E09000023,Lewisham,Lives rent free,177,nonmigrant,114
E09000023,Lewisham,Owned: Owns outright,18853,migrant,6716
E09000023,Lewisham,Owned: Owns with a mortgage,32377,migrant,11534
E09000023,Lewisham,Shared ownership: Shared ownership,1944,migrant,693
E09000023,Lewisham,Social rented: Rents from council ,35753,migrant,12737
E09000023,Lewisham,Private rented: Private landlord ,33289,migrant,11859
E09000023,Lewisham,Lives rent free,177,migrant,63
E09000024,Merton,Owned: Owns outright,20695,nonmigrant,13084
E09000024,Merton,Owned: Owns with a mortgage,24773,nonmigrant,15662
E09000024,Merton,Shared ownership: Shared ownership,869,nonmigrant,549
E09000024,Merton,Social rented: Rents from council ,11599,nonmigrant,7333
E09000024,Merton,Private rented: Private landlord ,23748,nonmigrant,15014
E09000024,Merton,Lives rent free,42,nonmigrant,27
E09000024,Merton,Owned: Owns outright,20695,migrant,7611
E09000024,Merton,Owned: Owns with a mortgage,24773,migrant,9111
E09000024,Merton,Shared ownership: Shared ownership,869,migrant,320
E09000024,Merton,Social rented: Rents from council ,11599,migrant,4266
E09000024,Merton,Private rented: Private landlord ,23748,migrant,8734
E09000024,Merton,Lives rent free,42,migrant,15
E09000025,Newham,Owned: Owns outright,14695,nonmigrant,6800
E09000025,Newham,Owned: Owns with a mortgage,20884,nonmigrant,9664
E09000025,Newham,Shared ownership: Shared ownership,2739,nonmigrant,1268
E09000025,Newham,Social rented: Rents from council ,32390,nonmigrant,14989
E09000025,Newham,Private rented: Private landlord ,44479,nonmigrant,20583
E09000025,Newham,Lives rent free,324,nonmigrant,150
E09000025,Newham,Owned: Owns outright,14695,migrant,7895
E09000025,Newham,Owned: Owns with a mortgage,20884,migrant,11220
E09000025,Newham,Shared ownership: Shared ownership,2739,migrant,1471
E09000025,Newham,Social rented: Rents from council ,32390,migrant,17401
E09000025,Newham,Private rented: Private landlord ,44479,migrant,23896
E09000025,Newham,Lives rent free,324,migrant,174
E09000026,Redbridge,Owned: Owns outright,27956,nonmigrant,15765
E09000026,Redbridge,Owned: Owns with a mortgage,31265,nonmigrant,17631
E09000026,Redbridge,Shared ownership: Shared ownership,983,nonmigrant,554
E09000026,Redbridge,Social rented: Rents from council ,16810,nonmigrant,9480
E09000026,Redbridge,Private rented: Private landlord ,31576,nonmigrant,17806
E09000026,Redbridge,Lives rent free,227,nonmigrant,128
E09000026,Redbridge,Owned: Owns outright,27956,migrant,12191
E09000026,Redbridge,Owned: Owns with a mortgage,31265,migrant,13634
E09000026,Redbridge,Shared ownership: Shared ownership,983,migrant,429
E09000026,Redbridge,Social rented: Rents from council ,16810,migrant,7330
E09000026,Redbridge,Private rented: Private landlord ,31576,migrant,13770
E09000026,Redbridge,Lives rent free,227,migrant,99
E09000027,Richmond upon Thames,Owned: Owns outright,24535,nonmigrant,17471
E09000027,Richmond upon Thames,Owned: Owns with a mortgage,25826,nonmigrant,18390
E09000027,Richmond upon Thames,Shared ownership: Shared ownership,560,nonmigrant,399
E09000027,Richmond upon Thames,Social rented: Rents from council ,17675,nonmigrant,12586
E09000027,Richmond upon Thames,Private rented: Private landlord ,19970,nonmigrant,14220
E09000027,Richmond upon Thames,Lives rent free,61,nonmigrant,43
E09000027,Richmond upon Thames,Owned: Owns outright,24535,migrant,7064
E09000027,Richmond upon Thames,Owned: Owns with a mortgage,25826,migrant,7436
E09000027,Richmond upon Thames,Shared ownership: Shared ownership,560,migrant,161
E09000027,Richmond upon Thames,Social rented: Rents from council ,17675,migrant,5089
E09000027,Richmond upon Thames,Private rented: Private landlord ,19970,migrant,5750
E09000027,Richmond upon Thames,Lives rent free,61,migrant,18
E09000028,Southwark,Owned: Owns outright,13879,nonmigrant,8229
E09000028,Southwark,Owned: Owns with a mortgage,23870,nonmigrant,14152
E09000028,Southwark,Shared ownership: Shared ownership,3182,nonmigrant,1887
E09000028,Southwark,Social rented: Rents from council ,51991,nonmigrant,30825
E09000028,Southwark,Private rented: Private landlord ,37506,nonmigrant,22237
E09000028,Southwark,Lives rent free,392,nonmigrant,232
E09000028,Southwark,Owned: Owns outright,13879,migrant,5650
E09000028,Southwark,Owned: Owns with a mortgage,23870,migrant,9718
E09000028,Southwark,Shared ownership: Shared ownership,3182,migrant,1295
E09000028,Southwark,Social rented: Rents from council ,51991,migrant,21166
E09000028,Southwark,Private rented: Private landlord ,37506,migrant,15269
E09000028,Southwark,Lives rent free,392,migrant,160
E09000029,Sutton,Owned: Owns outright,23400,nonmigrant,13874
E09000029,Sutton,Owned: Owns with a mortgage,29647,nonmigrant,17577
E09000029,Sutton,Shared ownership: Shared ownership,889,nonmigrant,527
E09000029,Sutton,Social rented: Rents from council ,11667,nonmigrant,6917
E09000029,Sutton,Private rented: Private landlord ,16683,nonmigrant,9891
E09000029,Sutton,Lives rent free,61,nonmigrant,36
E09000029,Sutton,Owned: Owns outright,23400,migrant,10951
E09000029,Sutton,Owned: Owns with a mortgage,29647,migrant,13875
E09000029,Sutton,Shared ownership: Shared ownership,889,migrant,416
E09000029,Sutton,Social rented: Rents from council ,11667,migrant,5460
E09000029,Sutton,Private rented: Private landlord ,16683,migrant,7808
E09000029,Sutton,Lives rent free,61,migrant,29
E09000030,Tower Hamlets,Owned: Owns outright,9424,nonmigrant,5014
E09000030,Tower Hamlets,Owned: Owns with a mortgage,18459,nonmigrant,9820
E09000030,Tower Hamlets,Shared ownership: Shared ownership,3143,nonmigrant,1672
E09000030,Tower Hamlets,Social rented: Rents from council ,43237,nonmigrant,23002
E09000030,Tower Hamlets,Private rented: Private landlord ,46000,nonmigrant,24472
E09000030,Tower Hamlets,Lives rent free,276,nonmigrant,147
E09000030,Tower Hamlets,Owned: Owns outright,9424,migrant,4410
E09000030,Tower Hamlets,Owned: Owns with a mortgage,18459,migrant,8639
E09000030,Tower Hamlets,Shared ownership: Shared ownership,3143,migrant,1471
E09000030,Tower Hamlets,Social rented: Rents from council ,43237,migrant,20235
E09000030,Tower Hamlets,Private rented: Private landlord ,46000,migrant,21528
E09000030,Tower Hamlets,Lives rent free,276,migrant,129
E09000031,Waltham Forest,Owned: Owns outright,20817,nonmigrant,12790
E09000031,Waltham Forest,Owned: Owns with a mortgage,29539,nonmigrant,18149
E09000031,Waltham Forest,Shared ownership: Shared ownership,1700,nonmigrant,1044
E09000031,Waltham Forest,Social rented: Rents from council ,22099,nonmigrant,13578
E09000031,Waltham Forest,Private rented: Private landlord ,28593,nonmigrant,17568
E09000031,Waltham Forest,Lives rent free,153,nonmigrant,94
E09000031,Waltham Forest,Owned: Owns outright,20817,migrant,8027
E09000031,Waltham Forest,Owned: Owns with a mortgage,29539,migrant,11390
E09000031,Waltham Forest,Shared ownership: Shared ownership,1700,migrant,656
E09000031,Waltham Forest,Social rented: Rents from council ,22099,migrant,8521
E09000031,Waltham Forest,Private rented: Private landlord ,28593,migrant,11025
E09000031,Waltham Forest,Lives rent free,153,migrant,59
E09000032,Wandsworth,Owned: Owns outright,24410,nonmigrant,15154
E09000032,Wandsworth,Owned: Owns with a mortgage,33915,nonmigrant,21055
E09000032,Wandsworth,Shared ownership: Shared ownership,2509,nonmigrant,1558
E09000032,Wandsworth,Social rented: Rents from council ,26544,nonmigrant,16479
E09000032,Wandsworth,Private rented: Private landlord ,49830,nonmigrant,30935
E09000032,Wandsworth,Lives rent free,184,nonmigrant,114
E09000032,Wandsworth,Owned: Owns outright,24410,migrant,9256
E09000032,Wandsworth,Owned: Owns with a mortgage or loan,33915,migrant,12860
E09000032,Wandsworth,Shared ownership: Shared ownership,2509,migrant,951
E09000032,Wandsworth,Social rented: Rents from council ,26544,migrant,10065
E09000032,Wandsworth,Private rented: Private landlord ,49830,migrant,18895
E09000032,Wandsworth,Lives rent free,184,migrant,70
E09000033,Westminster,Owned: Owns outright,15213,nonmigrant,6756
E09000033,Westminster,Owned: Owns with a mortgage or loan,10749,nonmigrant,4774
E09000033,Westminster,Shared ownership: Shared ownership,695,nonmigrant,309
E09000033,Westminster,Social rented: Rents from council ,26810,nonmigrant,11906
E09000033,Westminster,Private rented: Private landlord ,41065,nonmigrant,18237
E09000033,Westminster,Lives rent free,284,nonmigrant,126
E09000033,Westminster,Owned: Owns outright,15213,migrant,8457
E09000033,Westminster,Owned: Owns with a mortgage or loan,10749,migrant,5975
E09000033,Westminster,Shared ownership: Shared ownership,695,migrant,386
E09000033,Westminster,Social rented: Rents from council ,26810,migrant,14904
E09000033,Westminster,Private rented: Private landlord ,41065,migrant,22828
E09000033,Westminster,Lives rent free,284,migrant,158
